city,name,rating,review_count,categories
Denver,Future Proof Movement,5.0,6,Physical Therapy
Denver,Mojo's House of Yoga & Meditation,5.0,6,Yoga
Denver,Mojo's House of Yoga & Meditation,5.0,6,Meditation Centers
Denver,One Shot Back,5.0,20,Golf
Denver,One Shot Back,5.0,20,Cocktail Bars
Denver,One Shot Back,5.0,20,Sports Bars
Denver,Immersive Gamebox - Denver,5.0,41,Virtual Reality Centers
Denver,Immersive Gamebox - Denver,5.0,41,Arcades
Denver,Immersive Gamebox - Denver,5.0,41,Escape Games
Denver,Block 1750,5.0,4,Dance Studios
Denver,Block 1750,5.0,4,Venues & Event Spaces
Denver,Block 1750,5.0,4,Dance Schools
Denver,Endorphin Central Park,5.0,4,Gyms
Denver,Endorphin Central Park,5.0,4,Yoga
Denver,Endorphin Central Park,5.0,4,Cycling Classes
Denver,Mach983 Crossfit,5.0,4,Health Coach
Denver,Mach983 Crossfit,5.0,4,Gyms
Denver,Inspired Athletic Movement,5.0,4,Trainers
Denver,Inspired Athletic Movement,5.0,4,Gyms
Denver,Mojo Fitness,5.0,4,Massage Therapy
Denver,Mojo Fitness,5.0,4,Gyms
Denver,Mojo Fitness,5.0,4,Trainers
Denver,Total Health and Exercise,5.0,4,Trainers
Denver,Total Health and Exercise,5.0,4,Gyms
